OBJECTID_1,ZIP,NAME,STATE,COUNTYNAME,TotalPopulation,PercentGenZ,PercentMillenial,PercentGenX,PercentBoomer,PercentSilentGen,MedianHouseholdIncome,PercentHispanic,PercentMinority,PercentBelowPoverty,PercentPopGroupLiving,PlaceNames,Cases_1,LabelY,Shape__Area,Shape__Length,Shape_Length,Shape_Area,OBJECTID
1,,,,TAYLOR,,,,,,,,,,,,,SUPPRESSED,-3,514993.45791626,12186.9918697757,12186.9922357224,514993.453167574,0
2,,,,OKALOOSA,,,,,,,,,,,,,0,0,16041636.078064,44084.9873401314,44084.9869383394,16041636.2572304,1
3,,,,ST. LUCIE,,,,,,,,,,,,,0,0,1872988.14941406,29650.1353431885,29650.1353613568,1872988.26823511,2
4,,,,GADSDEN,,,,,,,,,,,,,0,0,17506.9569091797,16638.2482368662,16638.2481214001,17506.9059103732,3
5,,,,LEON,,,,,,,,,,,,,0,0,87228.991394043,13932.472499696,13932.4723173185,87228.9999645267,4
6,,,,JEFFERSON,,,,,,,,,,,,,0,0,657650.964294434,75252.8022070432,75252.8021989033,657651.078376287,5
7,,,,MADISON,,,,,,,,,,,,,0,0,149149.934783936,33223.3375748574,33223.3375959192,149149.937182935,6
8,,,,HAMILTON,,,,,,,,,,,,,SUPPRESSED,-3,316215.413238525,46690.0075396966,46690.0076697491,316215.620836024,7
9,32406,,,BAY,,,,,,,,,,,,,0,0,37432787.4972687,144734.098420998,144734.098772732,37432787.5198215,8
10,,,,BAKER,,,,,,,,,,,,,0,0,199501.402526855,33630.8675482983,33630.8668775901,199501.29056089,9
11,,,,HILLSBOROUGH,,,,,,,,,,,,,0,0,16731469.3107605,85914.1531891979,85914.1525225635,16731469.1130425,10
12,,,,MANATEE,,,,,,,,,,,,,0,0,6071412.13487244,28310.5155908463,28310.5151002659,6071412.1430641,11
13,,,,VOLUSIA,,,,,,,,,,,,,0,0,237795.017944336,27925.0290123687,27925.0290137392,237795.099974317,12
14,,,,DIXIE,,,,,,,,,,,,,SUPPRESSED,-3,1056149.50479126,24259.9327083716,24259.9327836519,1056149.53211313,13
15,,,,LEVY,,,,,,,,,,,,,0,0,8907203.46899414,107808.758359998,107808.758236801,8907203.49053805,14
16,,,,PINELLAS,,,,,,,,,,,,,0,0,16040771.3488464,121939.508930896,121939.508871708,16040771.4974816,15
17,,,,GULF,,,,,,,,,,,,,SUPPRESSED,-3,17537.1648254395,923.605442942978,923.605430844396,17537.1602661643,16
18,,,,WAKULLA,,,,,,,,,,,,,0,0,2538114.01771545,40490.3139299591,40490.3130173914,2538114.09339323,17
19,,,,BREVARD,,,,,,,,,,,,,0,0,230510.480682373,38931.7798229279,38931.7796196848,230510.670384455,18
