zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
10001,STANDARD,0,New York,,Empire State-G P O-Greeley Square-Macys Finance-Manhattan,NY,New York County,America/New_York,718-917-347-646,NA,US,40.75,-74,19710
10002,STANDARD,0,New York,Knickerbocker,Manhattan-New York City-Ny-Ny City-Nyc,NY,New York County,America/New_York,718,NA,US,40.71,-73.99,71450
10003,STANDARD,0,New York,,Cooper-Manhattan,NY,New York County,America/New_York,212-347-646-718-917,NA,US,40.73,-73.99,39470
10004,STANDARD,0,New York,Bowling Green,,NY,New York County,America/New_York,212-347-646-718-917,NA,US,40.69,-74.02,4380
10005,STANDARD,0,New York,Wall Street,Manhattan-Nyc,NY,New York County,America/New_York,347-718-212-646-917,NA,US,40.71,-74.01,8600
10006,STANDARD,0,New York,Trinity,Manhattan-Nyc,NY,New York County,America/New_York,917-929,NA,US,40.71,-74.01,3390
10007,STANDARD,0,New York,,Church Street-Manhattan-Nyc,NY,New York County,America/New_York,212-347-718-917-929-646,NA,US,40.71,-74.01,5910
10009,STANDARD,0,New York,,Manhattan-Nyc-Peter Stuyvesant,NY,New York County,America/New_York,212-646-718-917,NA,US,40.73,-73.98,46940
10010,STANDARD,0,New York,,Madison Square Sta-Manhattan-Nyc,NY,New York County,America/New_York,212-646-917-718,NA,US,40.74,-73.98,24020
10011,STANDARD,0,New York,,,NY,New York County,America/New_York,212-347-646-718-917-929,NA,US,40.74,-74,40950
10012,STANDARD,0,New York,Prince,Manhattan-Ny City-Nyc,NY,New York County,America/New_York,646-929-347-718,NA,US,40.73,-74,17250
10013,STANDARD,0,New York,Canal Street-Chinatown,Manhattan-Nyc,NY,New York County,America/New_York,347-718-646-929-212-917,NA,US,40.72,-74,24680
10014,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212-347-718-917-929-646,NA,US,40.73,-74.01,25220
10016,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212-646-718-917-347,NA,US,40.75,-73.98,42940
10017,STANDARD,0,New York,,Grand Central-Manhattan-Nyc,NY,New York County,America/New_York,212-646-718,NA,US,40.75,-73.97,17990
10018,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212,NA,US,40.76,-73.99,8840
10019,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212-917-347-646-718-914,NA,US,40.77,-73.99,34280
10020,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212,NA,US,40.76,-73.98,2326
10021,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,347-212-646-917,NA,US,40.77,-73.96,36490
10022,STANDARD,0,New York,,Franklin D Roosevelt-Manhattan-Nyc,NY,New York County,America/New_York,212-646-917,NA,US,40.76,-73.97,29800
10023,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212-347-646-718-917,NA,US,40.78,-73.98,52150
10024,STANDARD,0,New York,,Manhattan-Nyc-Planetarium,NY,New York County,America/New_York,212-646-917,NA,US,40.8,-73.97,50420
10025,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212-646-917,NA,US,40.8,-73.97,73730
10026,STANDARD,0,New York,,Morningside-Nyc,NY,New York County,America/New_York,212-646-917,NA,US,40.8,-73.95,30440
10027,STANDARD,0,New York,,Manhattan-Manhattanville-Ny City-Nyc,NY,New York County,America/New_York,212-646-718-917,NA,US,40.81,-73.95,45080
10028,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212-347-646-917,NA,US,40.78,-73.95,39430
10029,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212-646-917,NA,US,40.79,-73.94,60970
10030,STANDARD,0,New York,,College-Manhattan-Nyc,NY,New York County,America/New_York,212-646-917,NA,US,40.82,-73.94,23010
10031,STANDARD,0,New York,,Hamilton Grange-Manhattan-Nyc,NY,New York County,America/New_York,212-646-917,NA,US,40.83,-73.95,47370
10032,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212-347-646-917,NA,US,40.84,-73.94,48530
10033,STANDARD,0,New York,,Manhattan-Nyc-Washington Bridge,NY,New York County,America/New_York,212-347-646-917,NA,US,40.85,-73.93,45600
10034,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212-917-718-646,NA,US,40.87,-73.92,34740
10035,STANDARD,0,New York,,Manhattan-Nyc-Randalls Island-Triborough-Wards Is-Wards Island,NY,New York County,America/New_York,212,NA,US,40.8,-73.93,26650
10036,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212-646-917,NA,US,40.76,-73.99,25310
10037,STANDARD,0,New York,,Lincolnton-Manhattan-Nyc,NY,New York County,America/New_York,212,NA,US,40.81,-73.94,16880
10038,STANDARD,0,New York,Peck Slip,Manhattan-Nyc,NY,New York County,America/New_York,212-646-917,NA,US,40.71,-74,18310
10039,STANDARD,0,New York,,Colonial Park-Manhattan-Nyc,NY,New York County,America/New_York,212-646-917,NA,US,40.83,-73.94,23320
10040,STANDARD,0,New York,,Fort George-Manhattan-Nyc,NY,New York County,America/New_York,347-646-917-212,NA,US,40.86,-73.93,36340
10041,STANDARD,0,New York,,Manhattan,NY,New York County,America/New_York,212-646-718-917-347,NA,US,40.71,-73.99,23
10044,STANDARD,0,New York,Roosevelt Isl-Roosevelt Island,,NY,New York County,America/New_York,646-718,NA,US,40.76,-73.95,7080
10045,STANDARD,0,New York,,Federal Reserve,NY,New York County,America/New_York,212-917,NA,US,40.71,-73.99,0
10055,STANDARD,0,New York,,Manhattan,NY,New York County,America/New_York,212,NA,US,40.71,-73.99,20
10060,STANDARD,0,New York,,,NY,New York County,America/New_York,347-212-646-718-917,NA,US,40.71,-73.99,0
10065,STANDARD,0,New York,,,NY,New York County,America/New_York,212,NA,US,40.76,-73.96,24130
10069,STANDARD,0,New York,,,NY,New York County,America/New_York,917-212-347-646-718,NA,US,40.78,-73.99,5260
10075,STANDARD,0,New York,,,NY,New York County,America/New_York,347,NA,US,40.77,-73.95,22000
10090,STANDARD,0,New York,,,NY,New York County,America/New_York,212-646-917,NA,US,40.71,-73.99,0
10103,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212,NA,US,40.76,-73.98,199
10104,STANDARD,0,New York,,Manhattan,NY,New York County,America/New_York,212,NA,US,40.71,-73.99,41
10105,STANDARD,0,New York,,Manhattan,NY,New York County,America/New_York,212,NA,US,40.71,-73.99,334
10106,STANDARD,0,New York,,Manhattan,NY,New York County,America/New_York,347-646-718-914-212-917,NA,US,40.71,-73.99,220
10107,STANDARD,0,New York,,Manhattan,NY,New York County,America/New_York,347-212-646-718-914-917,NA,US,40.71,-73.99,406
10110,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212-347-646-718-917,NA,US,40.75,-73.98,478
10111,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212,NA,US,40.76,-73.98,1191
10112,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212,NA,US,40.76,-73.98,563
10115,STANDARD,0,New York,,,NY,New York County,America/New_York,212,NA,US,40.81,-73.96,22
10118,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,917-929,NA,US,40.71,-73.99,725
10119,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212-646-917,NA,US,40.75,-73.99,392
10120,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,929,NA,US,40.71,-73.99,0
10121,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212-917-347-646-718,NA,US,40.71,-73.99,34
10122,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,646,NA,US,40.71,-73.99,166
10123,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212-646-917,NA,US,40.71,-73.99,554
10128,STANDARD,0,New York,,Manhattan-Ny-Nyc,NY,New York County,America/New_York,212-646-917,NA,US,40.78,-73.95,51720
10151,STANDARD,0,New York,,Manhattan,NY,New York County,America/New_York,212,NA,US,40.71,-73.99,39
10152,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212-646-917,NA,US,40.76,-73.97,107
10153,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212,NA,US,40.76,-73.97,46
10154,STANDARD,0,New York,,Manhattan,NY,New York County,America/New_York,212-646-917,NA,US,40.76,-73.97,433
10155,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212-646-917,NA,US,40.71,-73.99,50
10158,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,347-646-718-917,NA,US,40.71,-73.99,38
10161,STANDARD,0,New York,,,NY,New York County,America/New_York,347-646-917-929,NA,US,40.71,-73.99,0
10162,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212-646-917,NA,US,40.77,-73.95,1450
10165,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212-646-917,NA,US,40.75,-73.98,597
10166,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212,NA,US,40.71,-73.99,295
10167,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212-646-718,NA,US,40.75,-73.97,187
10168,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212-646-917,NA,US,40.75,-73.98,253
10169,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212,NA,US,40.75,-73.98,254
10170,STANDARD,0,New York,,Manhattan-Nyc,NY,New York County,America/New_York,212,NA,US,40.75,-73.98,334
